name,class,ammo,mag_size,reload_time,dps,body_damage,head_damage,leg_damage,sps,modes,projectile_speed,draw_time,description,image_url
P2020,pistol,Light Rounds,10,1.25,102,12,18,10.8,8.5,Single,18500,0.25,The standard pistol and probably the weakest gun current in Apex Legends. It's passable when you don't have anything and can be quick to deal damage if - IF - you hit your shots,p2020.png
RE-45 Auto,pistol,Light Rounds,15,2.12,143,11,16,9.9,13,Auto,19500,0.25,The RE-45 trades a little damage and a little bit of reload time on the P2020 but makes up for it by being fully automatic. A larger clip size is nice but be careful of the horizontal and vertical recoil,re45.png
Wingman,pistol,Heavy Rounds,6,2.10,139.5,45,90,40.5,3.1,Single,18000,0.25,The Wingman is basically the Hand Cannon in Fortnite: powerful and slow. It's a high skill-ceiling weapon and best used by someone who trusts their own precision and sharpshooting,wingman.png
EVA-8 Auto,shotgun,Shotgun Shells,8,3.00,126,7,10,5.6,2,Auto,16000,0.45,The most forgiving shotgun in Apex Legends with incredible fast rate of fire sets the EVA-8 apart from the rest. Its damage per shot can't compete with the Peacekeeper but the EVA's flexibilty more than makes up for it,eva8.png
Peacekeeper,shotgun,Shotgun Shells,6,3.50,106.7,10,15,8,0.97,Single,16000,0.45,The Peacekeeper fires 11 pellets in a star formation with each shot allowing it to deal phenomenal damage. It's the slowest shotgun so the question is whether your twitch-aiming is good enough to hit your shots. All in all the Peacekeeper is the best Shotgun around wit hthe exception of the Mastigg - though the Peacekeeper has a longer effective range,peacekeeper.png
Mozambique,shotgun,Shotgun Shells,3,2.60,99,15,22,13.5,2.2,Auto,10000,0.45,The Mozambique is the laughing stock of the Apex Legends weapons roster and has been acknowledged by the devs at Respawn as being underpowered. The compact triangle formation of its 3-shot burst gives it a slightly longer effective range than the others but still - pretty awful,mozambique.png
Mastiff,shotgun,Unique,4,1.70,187.2,18,36,18,1.3,Single,12000,0.45,The Mastiff is a legendary weapon in Apex Legends with its own unique shotgun shells: 20 shots with this colossal weapon! It's by far the most powerful of all shotguns at close-range dealing a whopping 36 damage with each of the eight bullets it fire with every pull of the trigger,mastiff.png
G7 Scout,sniper,Light Rounds,10,3.00,135,30,60,21.75,4.5,Single,31500,0.60,The Scout is an excellet and surprisingly versatile sniper rifile able to perform well at long and even close ranges. It deals less damage than its fellow snipers but has a much higher rate of fire and benefits from extended mag attachments. Damage from multiple shots equates to the same damage from a single shot from the Longbow or Kraber,g7.png
Longbow DMR,sniper,Heavy Rounds,5,3.66,66,55,110,39.88,1.2,Single,30500,0.90,The Longbow is an excellent long-range choice with twice the damage per shot of the Scout. It has a fairly decent rate of fire (though nothing like as fast as the Scout). The speciai Hop-Up attachment gives the Longbow extra headshot damage making the Longbow truly a force to be reckoned with,longbow.png
Triple Take,sniper,Energy Ammo,5,3.40,86.25,23,46,16.68,1.25,Single (3-shot spread),32000,0.90,The Triple Take is nicknamed the firework for its very distinctive firing audio. This strange weapon could be described as a long-range shotgun; each pull of the trigger fires three shots in a packed traingle formation. This makes the gun great at mid-range battles but pretty terrible at long-distance - pretty bizarre for a sniper rifile,triple_take.png
